Absorption,Concentration
0.21733633,0.151850711
0.21296701,0.148797911
0.21214344,0.148222491
0.21557684,0.150621373
0.21481305,0.150087721
0.21434619,0.14976153
0.22214498,0.155210466
0.21200097,0.148122948
0.21458187,0.149926197
0.21123886,0.14759047
0.21471132,0.150016643
0.21115171,0.147529579
0.2148593,0.150120035
0.21316969,0.148939521
0.21416143,0.14963244
0.21639302,0.15119163
0.20982378,0.146601768
0.21474831,0.150042487
0.21463734,0.149964954
0.21383367,0.149403438
0.21018512,0.146854232
0.21259414,0.14853739
0.21002499,0.146742351
0.21260334,0.148543818
0.20826293,0.145511217
0.21184936,0.14801702
0.21366758,0.149287392
0.2149657,0.150194376
0.21078498,0.147273348
0.21202395,0.148139004
0.20873698,0.145842431
0.2111884,0.147555214
0.21597083,0.15089665
0.20699374,0.144624447
0.21893486,0.152967588
0.21167943,0.147898292
0.21585027,0.150812416
0.21731307,0.151834459
0.20988779,0.146646491
0.21647658,0.151250012
0.21434157,0.149758302
0.21448018,0.149855148
0.21634661,0.151159203
0.20968663,0.146505942
0.21568341,0.150695832
0.2183423,0.152553572
0.21218481,0.148251396
0.20976891,0.146563431
0.20890119,0.145957163
0.21233654,0.148357408
0.21297162,0.148801132
0.21008904,0.146787102
0.21015309,0.146831853
0.20780304,0.145189897
0.21089497,0.147350197
0.21447094,0.149848692
0.21959837,0.153431176
0.20789407,0.145253499
0.21822575,0.15247214
0.21566487,0.150682879
0.21245152,0.148437743
0.20895138,0.145992231
0.21057425,0.147126114
0.20892857,0.145976293
0.22122404,0.154567015
0.20947187,0.146355892
0.20588681,0.143851046
0.21470207,0.15001018
0.21723865,0.151782463
0.21146368,0.147747549
0.21352922,0.149190721
0.20943989,0.146333548
0.21794615,0.152276786
0.21746195,0.15193848
0.21278744,0.148672447
0.20765289,0.145084989
0.21111044,0.147500744
0.20660781,0.144354802
0.21206071,0.148164688
0.21421223,0.149667934
0.21071167,0.147222128
0.21411987,0.149603403
0.21513229,0.15031077
0.21229056,0.148325282
0.2099884,0.146716786
0.20898332,0.146014547
0.21322959,0.148981373
0.21362146,0.149255169
0.21083539,0.147308569
0.21026292,0.14690859
0.21313744,0.148916989
0.20687112,0.144538774
0.20955411,0.146413352
0.20927547,0.146218669
0.206449,0.144243843
0.21350617,0.149174617
0.21141779,0.147715486
0.21621203,0.151065174
0.21140402,0.147705866
0.21202395,0.148139004
0.21740146,0.151896217
0.21530357,0.150430442
0.20987864,0.146640098
0.22050649,0.15406567
0.21360762,0.149245499
0.21386136,0.149422784
0.21163811,0.147869422
0.20878715,0.145877485
0.20896507,0.146001796
0.2139352,0.149474376
0.21679705,0.151473921
