Absorption,
0.21906094,0.18212947
0.21241932,0.17111518
0.21599865,0.17655186
0.2154425,0.17899194
0.20983749,0.17942912
0.20900614,0.17619255
0.20635827,0.18198145
0.20939421,0.17308179
0.21043687,0.17534087
0.21542397,0.16049894
0.2191964,0.17934562
0.21074374,0.17225184
0.21242852,0.17392905
0.21004787,0.16152034
0.21089038,0.1777583
0.21218941,0.17401936
0.21269538,0.16903706
0.21099581,0.17381912
0.21609141,0.1783965
0.21531746,0.17677707
0.21067044,0.1767336
0.21747591,0.17181401
0.20335242,0.17380342
0.21107376,0.17505735
0.21150958,0.17242787
0.20731637,0.1834358
0.21514155,0.17586509
0.21133519,0.17312098
0.21862681,0.17362683
0.21246532,0.17620044
0.21442011,0.17651236
0.21498883,0.17804359
0.21365374,0.17310139
0.22037999,0.1832031
0.21426303,0.17496682
0.21278744,0.1774257
0.21017139,0.17960013
0.21638374,0.19036537
0.21313744,0.17573102
0.21254813,0.17682054
0.21033158,0.17651631
0.21052387,0.17853933
0.22042684,0.17841634
0.21348772,0.17753654
0.21173454,0.17650446
0.20844063,0.17438866
0.20954954,0.17535663
0.21201935,0.17365429
0.21392597,0.1829625
0.21490556,0.17421576
0.21115171,0.17026561
0.21305913,0.17030844
0.21066586,0.18249773
0.21380599,0.17746924
0.20588681,0.17387408
0.20690745,0.17288982
0.21397675,0.17323073
0.21331715,0.17934562
0.21751779,0.17210324
0.21751314,0.17741778
0.19990669,0.18265393
0.20961351,0.17949672
0.21283348,0.17650051
0.21627699,0.1706707
0.20682117,0.17508097
0.21283348,0.17482516
0.21531283,0.16594998
0.20422717,0.17515971
0.21372755,0.17972744
0.21004329,0.17147812
0.20708006,0.17787319
0.21092247,0.17652026
0.21133978,0.17650841
0.2144617,0.1763544
0.21223998,0.17416469
0.2095998,0.18618549
0.21111502,0.17470715
0.21185395,0.16857144
0.20688928,0.17875367
0.21005702,0.17618071
0.21250672,0.17381127
0.20766654,0.17388586
0.21713169,0.18153371
0.21392597,0.17670989
0.21050097,0.16985311
0.21503048,0.16660193
0.21181721,0.18235359
0.20825837,0.17697472
0.21067044,0.17812287
0.21507212,0.17302694
0.21089955,0.1793337
0.21397213,0.17414897
0.21381983,0.17960411
0.20750279,0.17172806
0.21113337,0.17686798
0.21447556,0.17740987
0.2142307,0.17337971
0.22004283,0.17539209
0.21375985,0.18271403
0.21150958,0.17909523
0.21530357,0.16816442
0.2138429,0.17915086
0.21461885,0.17743757
0.21462347,0.17325033
0.21762484,0.16206633
0.2078076,0.17482516
0.21307755,0.18002598
0.21226297,0.17733863
0.21610069,0.1672162
0.21747591,0.18030081
0.20595931,0.18048811
0.21332176,0.17229095
0.21398598,0.18032471
0.21708985,0.17851949
0.2141291,0.16984922
0.21037735,0.17454591
0.21502585,0.16852102
0.21014852,0.17999412
0.20877346,0.17028897
0.21835629,0.17359544
0.21187692,0.17742966
0.2193693,0.18163761
0.20686203,0.17875764
0.21518783,0.17111518
0.2117575,0.17988266
0.21518783,0.17973142
0.21769933,0.18168157
0.21649051,0.17623991
0.2153082,0.17847188
0.21543323,0.18283825
0.21249292,0.17970755
0.21862215,0.17111908
0.21147745,0.17973142
0.21407831,0.17886485
0.21400906,0.17189607
0.22060022,0.17474648
0.21306834,0.1840181
0.20839506,0.17999412
0.21646265,0.17697077
0.21470207,0.17842427
0.21419375,0.17891647
0.21363991,0.18418691
0.21133519,0.17407434
0.21338169,0.17693914
0.20937137,0.17817838
0.21239633,0.17187262
0.20977349,0.17712104
0.21590591,0.18104651
0.21000212,0.18010164
0.20861842,0.1721267
0.21342779,0.17514397
0.215892,0.18599975
0.20909742,0.18229355
0.21649051,0.17493927
0.20834949,0.17642152
0.21886016,0.17224793
0.21771329,0.17794847
0.20793959,0.17648076
0.21508138,0.18090286
0.2138429,0.17792866
0.21363068,0.17591242
0.2098695,0.16960036
0.20331638,0.1833074
0.21529431,0.18315096
0.21528505,0.17666642
0.22023948,0.17832907
0.20701191,0.18026097
0.21599401,0.17609389
0.21340013,0.1783608
0.21520635,0.18055189
0.2090107,0.17617281
0.21251592,0.17172025
0.21691786,0.16959259
0.22023479,0.18021316
0.21217562,0.17398794
0.21575756,0.18736639
0.21296701,0.17542754
0.21654623,0.1785433
0.20846798,0.17311706
0.2092709,0.1818135
0.21083997,0.17792866
0.21846821,0.17858695
0.21215723,0.18934713
0.2168528,0.17215407
0.21070709,0.18012553
0.21915436,0.18142584
0.21008904,0.17323857
0.20814905,0.17665852
0.21518783,0.17259224
0.21749917,0.18104651
0.2170852,0.17538815
0.2091385,0.17187653
0.21868747,0.17508491
0.21650908,0.18760538
0.21813253,0.16978311
0.21659731,0.16648999
0.21302228,0.17478582
0.22165607,0.17869809
0.21202395,0.17304653
0.21283808,0.17480943
0.21510452,0.18131001
0.21665304,0.18088291
0.2198182,0.16972866
0.21274141,0.17506916
0.20884189,0.18370477
0.22255439,0.17882514
0.21225837,0.17051485
0.21269998,0.17817045
0.21152335,0.18348797
0.2135615,0.18057183
0.21244692,0.180022
0.21414295,0.17945298
0.21714564,0.17590847
0.22466876,0.18454485
0.2139352,0.17054602
0.21336786,0.17864649
0.21527579,0.1775405
0.2090746,0.175463
0.21579001,0.1813859
0.21626307,0.17884102
0.21886016,0.17793262
0.21388443,0.17140394
0.21525264,0.17543936
0.21351078,0.1812541
0.21060631,0.1748409
0.21599401,0.17467961
0.21518783,0.17050317
0.22015519,0.17684031
0.21108751,0.17535663
0.2189442,0.16750238
0.21833297,0.18537044
0.21691786,0.17938538
0.21103707,0.17243179
0.21172995,0.17180619
0.21251592,0.18382525
0.21714099,0.17963991
0.20940791,0.17999412
0.20778939,0.16771908
0.21738285,0.18137391
0.21757364,0.18094276
0.2116978,0.17536845
0.21816981,0.17210715
0.21062463,0.17988664
0.21658338,0.18052797
0.20954497,0.17781376
0.2149657,0.18417887
0.21832365,0.17828544
